,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,(Dollars in millions),,,,,,,,,,,,,,,
1,"At December 31, 2012",,,Level 1,,,Level 2,,,Level 3,,,Total,,,
2,Assets,,,,,,,,,,,,,,,
3,"Cash
  equivalents(1)",,,,,,,,,,,,,,,
4,Time deposits and certificates of deposit,,,—,,,"3,694",,,—,,,"3,694",,,
5,Commercial paper,,,—,,,"2,098",,,—,,,"2,098",,,
6,Money market funds,,,"1,923",,,—,,,—,,,"1,923",,,
7,Other securities,,,—,,,30,,,—,,,30,,,
8,Total,,,"1,923",,,"5,823",,,—,,,"7,746",(6),,
9,"Debt
  securities - current (2)",,,—,,,717,,,—,,,717,(6),,
10,"Debt
  securities - noncurrent (3)",,,2,,,8,,,—,,,10,,,
11,"Available-for-sale
  equity investments (3)",,,34,,,—,,,—,,,34,,,
12,"Derivative
  assets (4)",,,,,,,,,,,,,,,
13,Interest rate contracts,,,—,,,604,,,—,,,604,,,
14,Foreign exchange contracts,,,—,,,305,,,—,,,305,,,
15,Equity contracts,,,—,,,9,,,—,,,9,,,
16,Total,,,—,,,918,,,—,,,918,(7),,
17,"Total
  assets",,,"1,959",,,"7,466",,,—,,,"9,424",(7),,
18,Liabilities,,,,,,,,,,,,,,,
19,"Derivative
  liabilities (5)",,,,,,,,,,,,,,,
20,Foreign exchange contracts,,,—,,,496,,,—,,,496,,,
21,Equity contracts,,,—,,,7,,,—,,,7,,,
22,"Total
  liabilities",,,—,,,503,,,—,,,503,(7),,
23,,,,,,,,,,,,,,,,
